Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time_weeks,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight_kg,Packaging_Information,Environmental_Compliance,Safety_Considerations
Plasma Source Assembly,LID-001,RF Generator and Electrostatic Chuck Assembly,1,"Aluminum Alloy, Ceramic",Vendor D,13608,16,High,External,A.3,Robotic Assembly,SEMI S234,Functional Tests,Provided by vendor,2,126,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor A,12270,9,High,External,A.1,Robotic Assembly,SEMI S789,Visual Inspection,Provided by vendor,2,32,Custom crate,"RoHS, REACH",Safety interlocks during handling
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor E,12697,16,High,External,A.1,Robotic Assembly,SEMI S456,Functional Tests,Provided by vendor,2,55,Custom crate,"RoHS, REACH",Safety interlocks during handling
Gas Delivery System,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor C,5000,8,Medium,External,A.2,Precision Machining,SEMI S789,Leak Test,Provided by vendor,2,42,Custom crate,"RoHS, REACH",
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor A,5000,12,High,External,A.1,"CNC Machining, Welding",SEMI S567,Helium Leak Test,Provided by vendor,1,43,Custom crate,"RoHS, REACH",Safety interlocks during handling
Chamber Assembly,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor D,20000,16,High,External,A.3,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,1,109,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Gas Delivery System,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor C,5888,12,Medium,External,A.2,Precision Machining,SEMI S789,Leak Test,Provided by vendor,2,52,Custom crate,"RoHS, REACH",
Plasma Source Assembly,GDS-001,Gas distribution manifold,1,Various,Vendor C,20000,14,High,External,A.2,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,2,94,Custom crate,"RoHS, REACH",
Wafer Handling System,GDS-001,Robot arm and wafer chuck,1,Stainless Steel,Vendor E,10444,16,Medium,External,A.2,Precision Machining,SEMI S567,Functional Tests,Provided by vendor,2,36,Custom crate,"RoHS, REACH",
Plasma Source Assembly,GDS-001,Lid for chamber,1,Stainless Steel,Vendor B,11753,13,Medium,External,A.2,Robotic Assembly,SEMI S123,Electrical Tests,Provided by vendor,2,198,Custom crate,"RoHS, REACH",
Gas Delivery System,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor C,12468,9,Medium,External,A.2,Precision Machining,SEMI S789,Leak Test,Provided by vendor,2,33,Custom crate,"RoHS, REACH",
Chamber Assembly,CHM-001,RF Generator and Electrostatic Chuck Assembly,1,Stainless Steel,Vendor C,8611,8,High,External,A.1,Integration of Components,SEMI S789,Leak Test,Provided by vendor,1,44,Custom crate,"RoHS, REACH",
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,Various,Vendor B,18266,14,High,External,A.1,Robotic Assembly,SEMI S234,Visual Inspection,Provided by vendor,2,45,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Gas Delivery System,GDS-001,Lid for chamber,1,Aluminum Alloy,Vendor B,6808,9,High,External,A.2,Integration of Components,SEMI S234,Leak Test,Provided by vendor,2,43,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance
Plasma Source Assembly,PSA-001,RF Generator and Electrostatic Chuck Assembly,1,Various,Vendor A,20000,10,High,External,A.3,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,2,94,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor E,9083,16,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,200,Custom crate,"RoHS, REACH",Safety interlocks during handling
Lid Assembly,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor A,9964,12,High,External,A.2,Integration of Components,SEMI S789,Electrical Tests,Provided by vendor,2,200,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor E,15608,13,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,50,Custom crate,"RoHS, REACH",Safety interlocks during handling
Wafer Handling System,PSA-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor D,13199,16,High,External,A.3,Robotic Assembly,SEMI S234,Electrical Tests,Provided by vendor,2,50,Custom packaging,"RoHS, REACH",Safety interlocks during handling
Plasma Source Assembly,PSA-001,RF Generator and Electrostatic Chuck Assembly,1,Various,Vendor D,20000,14,High,External,A.3,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,2,87,Custom crate,"RoHS, REACH",Safety interlocks during operation
Lid Assembly,CHM-001,Lid for chamber,1,Stainless Steel,Vendor A,5000,9,Medium,External,A.1,Precision Machining,SEMI S123,Visual Inspection,Provided by vendor,1,200,Custom crate,"RoHS, REACH",Safety interlocks during lid opening
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor E,13683,16,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,48,Custom crate,"RoHS, REACH",Safety interlocks during handling
Plasma Source Assembly,PSA-001,RF Generator and Electrostatic Chuck Assembly,1,Various,Vendor D,20000,16,High,External,A.3,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,2,98,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Gas Delivery System,WHS-001,Gas distribution manifold,1,"Aluminum Alloy, Ceramic",Vendor C,15348,14,Medium,External,A.3,Integration of Components,SEMI S567,Leak Test,Provided by vendor,2,42,Custom crate,"RoHS, REACH",
Chamber Assembly,CHM-001,Gas distribution manifold,1,Stainless Steel,Vendor C,6130,16,High,External,A.1,"CNC Machining, Welding",SEMI S123,Functional Tests,Provided by vendor,2,50,Custom crate,"RoHS, REACH",Safety interlocks during maintenance
Gas Delivery System,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor C,5717,8,Medium,External,A.2,Precision Machining,SEMI S456,Visual Inspection,Provided by vendor,1,42,Custom crate,"RoHS, REACH",
Plasma Source Assembly,PSA-001,RF Generator and Electrostatic Chuck Assembly,1,Various,Vendor D,20000,13,High,External,A.3,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,1,88,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Gas Delivery System,GDS-001,Gas distribution manifold,1,Various,Vendor C,12209,8,Medium,External,A.2,Precision Machining,SEMI S789,Leak Test,Provided by vendor,2,46,Custom packaging,"RoHS, REACH",
Chamber Assembly,CHM-001,Main chamber body,1,Stainless Steel,Vendor A,13494,15,High,External,A.1,"CNC Machining, Welding",SEMI S123,Helium Leak Test,Provided by vendor,1,200,Custom crate,"RoHS, REACH",Safety interlocks during maintenance
Lid Assembly,LID-001,Lid for chamber,1,Stainless Steel,Vendor B,5000,11,High,External,A.1,"CNC Machining, Welding",SEMI S456,Helium Leak Test,Provided by vendor,1,200,Custom crate,"RoHS, REACH",
Plasma Source Assembly,PSA-001,RF Generator and Electrostatic Chuck Assembly,1,Various,Vendor D,18109,11,High,External,A.1,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,2,133,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Chamber Assembly,CHM-001,Main chamber body,1,Stainless Steel,Vendor A,11942,13,High,External,A.1,"CNC Machining, Welding",SEMI S123,Electrical Tests,Provided by vendor,1,132,Custom crate,"RoHS, REACH",Safety interlocks during maintenance
Chamber Assembly,CHM-001,Main chamber body,1,Stainless Steel,Vendor A,11204,11,High,External,A.1,"CNC Machining, Welding",SEMI S123,Helium Leak Test,Provided by vendor,1,199,Custom crate,"RoHS, REACH",Safety interlocks during maintenance
Gas Delivery System,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor A,10939,9,High,External,A.2,Precision Machining,SEMI S789,Leak Test,Provided by vendor,1,35,Custom crate,"RoHS, REACH",
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,"Aluminum Alloy, Ceramic",Vendor E,8679,16,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,50,Custom crate,"RoHS, REACH",Safety interlocks during handling
Plasma Source Assembly,CHM-001,Main chamber body,1,Various,Vendor A,14204,12,High,External,A.1,"CNC Machining, Welding",SEMI S123,Helium Leak Test,Provided by vendor,1,200,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance
